,Brand,Engine Size,Fuel Type,Transmission,Mileage,Condition,Price,Model,Car_Age
0,Tesla,2.3,Petrol,Manual,114832,New,26613.92,Model X,9
1,BMW,4.4,Electric,Manual,143190,Used,14679.61,5 Series,7
2,Audi,4.5,Electric,Manual,181601,New,44402.61,A4,12
3,Tesla,4.1,Diesel,Automatic,68682,New,86374.33,Model Y,14
4,Ford,2.6,Diesel,Manual,223009,Like New,73577.1,Mustang,16
5,Audi,2.4,Diesel,Automatic,246553,Like New,88969.76,Q7,6
6,Audi,4.0,Electric,Automatic,135486,Used,63498.75,Q5,5
7,Tesla,5.3,Hybrid,Automatic,83030,New,17381.19,Model Y,8
8,Honda,5.7,Electric,Manual,120360,Like New,15905.62,Civic,2
9,Ford,1.5,Electric,Automatic,135009,Like New,9560.22,Explorer,15
10,Tesla,1.8,Diesel,Automatic,298875,Like New,58872.6,Model 3,24
11,Ford,5.7,Electric,Automatic,169737,Used,28074.19,Mustang,8
12,Ford,4.7,Petrol,Automatic,114360,New,74766.45,Fiesta,19
13,Audi,5.4,Electric,Automatic,263894,Like New,70193.74,Q7,2
14,BMW,2.0,Electric,Automatic,65018,New,35220.52,X3,11
15,Ford,3.9,Electric,Automatic,240904,Used,21796.16,Mustang,15
16,Mercedes,4.5,Electric,Automatic,136817,New,14728.03,GLA,8
17,Audi,4.4,Hybrid,Automatic,192803,Like New,75044.95,A3,3
18,Honda,3.0,Electric,Automatic,86984,New,47791.89,Civic,14
19,BMW,1.1,Petrol,Automatic,290595,New,35735.34,X5,20
20,Mercedes,3.9,Petrol,Automatic,192608,Used,86382.04,C-Class,6
21,Mercedes,2.3,Electric,Manual,12150,Used,61393.26,E-Class,3
22,Honda,3.3,Diesel,Manual,275550,New,54210.22,CR-V,13
23,BMW,5.8,Hybrid,Automatic,150853,New,75621.02,X5,6
24,Audi,3.0,Electric,Automatic,188489,New,82480.4,Q5,10
25,Toyota,5.2,Electric,Automatic,18325,Used,70176.95,Camry,8
26,BMW,1.9,Electric,Manual,199756,Used,46800.6,X3,16
27,Honda,4.4,Diesel,Manual,204541,New,41033.39,Accord,3
28,Mercedes,5.9,Diesel,Manual,17669,Used,78308.17,GLC,18
29,Audi,1.5,Diesel,Automatic,207836,Like New,54201.18,A3,8
30,BMW,1.0,Hybrid,Automatic,132915,Used,71916.68,X5,5
31,Toyota,3.2,Petrol,Automatic,196681,Used,89587.88,Corolla,25
32,Toyota,1.5,Hybrid,Automatic,50812,Used,92009.61,Corolla,3
33,Ford,4.7,Diesel,Manual,278203,Like New,31382.99,Fiesta,18
34,Ford,5.6,Petrol,Automatic,252862,Like New,22849.55,Mustang,20
35,Tesla,3.2,Petrol,Manual,171840,Like New,29822.3,Model 3,21
36,Honda,2.3,Diesel,Manual,25395,New,76380.32,Fit,11
37,BMW,3.2,Diesel,Automatic,282346,New,40155.51,5 Series,4
38,BMW,4.6,Hybrid,Manual,229707,Like New,21471.98,X3,11
39,Tesla,1.0,Diesel,Manual,247181,New,14346.62,Model X,24
40,Mercedes,3.9,Petrol,Manual,204120,New,36094.75,E-Class,25
41,Mercedes,4.1,Electric,Manual,224839,New,17932.96,GLA,3
42,Tesla,4.2,Diesel,Automatic,219882,Like New,19855.49,Model Y,3
43,Mercedes,2.2,Diesel,Automatic,103235,Used,69968.98,C-Class,15
44,Ford,4.6,Hybrid,Manual,45510,Like New,6874.55,Explorer,16
45,BMW,1.5,Hybrid,Automatic,87945,Like New,16167.56,5 Series,8
46,Tesla,2.0,Diesel,Manual,242802,New,85214.72,Model S,8
47,BMW,5.4,Petrol,Automatic,250168,New,85266.84,X5,9
48,Toyota,4.7,Petrol,Automatic,2881,Used,36278.13,Prius,18
49,Ford,1.1,Electric,Automatic,111860,Used,13355.54,Explorer,11
50,Audi,2.2,Diesel,Automatic,166415,Used,71972.18,Q5,18
51,Ford,2.1,Hybrid,Automatic,139728,Used,39212.51,Mustang,9
52,Tesla,2.4,Petrol,Manual,267885,Like New,9319.14,Model S,14
53,Audi,2.2,Electric,Automatic,147733,Used,19993.56,A4,18
54,Toyota,1.3,Diesel,Manual,290834,Like New,18035.41,Camry,12
55,Tesla,3.3,Petrol,Manual,294977,New,60966.05,Model S,22
56,Honda,4.7,Diesel,Automatic,102566,Used,90321.17,CR-V,25
57,BMW,4.0,Diesel,Manual,71240,New,80341.84,5 Series,25
58,Toyota,4.4,Petrol,Automatic,106898,New,56919.02,Prius,7
59,BMW,1.4,Petrol,Manual,209304,Like New,45104.74,3 Series,10
60,Mercedes,5.8,Petrol,Manual,80522,Used,63774.29,GLC,12
61,Honda,5.2,Diesel,Automatic,145512,Like New,47162.21,Accord,5
62,Honda,5.0,Diesel,Automatic,119107,New,28379.42,CR-V,10
63,Toyota,5.1,Electric,Automatic,22462,Used,69523.76,Camry,21
64,Honda,5.7,Hybrid,Automatic,279965,New,87958.17,Fit,17
65,Audi,3.7,Diesel,Manual,92889,New,40422.68,A4,24
66,Honda,2.0,Hybrid,Automatic,88952,Used,84946.15,CR-V,8
67,BMW,4.1,Petrol,Manual,193596,Used,45952.79,X3,20
68,BMW,4.7,Diesel,Manual,177505,Used,43126.91,5 Series,17
69,Tesla,4.7,Electric,Manual,221576,Like New,7690.81,Model X,25
70,BMW,3.6,Electric,Manual,219393,Like New,71051.5,5 Series,17
71,Tesla,1.3,Hybrid,Manual,275455,New,81712.74,Model S,10
72,BMW,2.9,Petrol,Manual,254084,Used,68037.91,X5,13
73,Audi,5.6,Hybrid,Automatic,129466,New,19379.29,A3,17
74,Tesla,3.9,Petrol,Manual,30531,New,14812.88,Model S,5
75,Ford,3.7,Electric,Manual,14588,New,59421.58,Fiesta,13
76,Mercedes,2.3,Hybrid,Manual,143452,New,43144.04,GLC,17
77,Toyota,2.8,Electric,Automatic,173717,New,45764.29,RAV4,15
78,BMW,5.5,Electric,Automatic,161929,Used,96941.02,X5,22
79,Honda,4.3,Petrol,Manual,21711,Like New,73772.65,Fit,24
80,BMW,4.9,Hybrid,Automatic,136169,Used,44119.84,5 Series,20
81,Honda,3.3,Hybrid,Manual,159465,Used,6814.43,CR-V,12
82,Mercedes,4.2,Electric,Automatic,284220,Used,8239.09,GLC,22
83,Mercedes,2.2,Electric,Manual,160389,Like New,70056.35,E-Class,20
84,Mercedes,4.5,Petrol,Automatic,58480,Like New,84585.18,GLC,7
85,Honda,3.1,Diesel,Automatic,269188,Like New,72231.75,Fit,20
86,BMW,3.2,Diesel,Automatic,250309,Used,43559.34,X3,24
87,Mercedes,4.2,Electric,Manual,55486,Like New,7957.9,C-Class,8
88,Audi,5.7,Diesel,Manual,55162,New,96903.15,A3,13
89,Tesla,1.3,Diesel,Manual,210359,Like New,98701.93,Model S,17
90,Honda,5.1,Diesel,Automatic,29882,Used,57189.63,CR-V,3
91,Honda,2.5,Diesel,Automatic,54078,Used,11713.74,CR-V,7
92,BMW,3.2,Electric,Manual,238680,New,56392.39,3 Series,13
93,Honda,1.1,Diesel,Automatic,108730,Like New,89772.15,CR-V,15
94,Honda,2.5,Diesel,Manual,174898,Like New,69598.62,Fit,25
95,Mercedes,3.5,Petrol,Manual,98938,New,73398.98,C-Class,2
96,BMW,1.3,Electric,Manual,118319,Used,13072.13,5 Series,4
